name,type,link,about,member_since,address,city,state,phone,website,email,followers,tags,hours,error,Keywords / Phrases Found,Vibe Score,Sales-ready Summary
Higher Capacity - Belt,MED & REC,https://www.leafly.com/dispensary-info/higher-capacity-belt,"EVERYTHING IN ONE PLACE Your Personalized Dispensary At Higher Capacity, our focus has always been on providing patients with the proper knowledge and medicine that they need. We want to make it easy and painless to get your medicine. Check our realtime online menu and order online for pick up or delivery.",2021,"316 Bridge Street, MT",Belt,Montana,+1-406-403-0722,https://highcapmt.com,info@highercapacity.com,12,"Storefront, ADA accessible, Veteran discount","Mon–Sat 9:30am–7:30pm, Sun 10am–7pm",,"personalized dispensary, proper knowledge, medicine, easy and painless, realtime online menu, order online for pick up or delivery",3,"Higher Capacity - Belt positions itself as a personalized dispensary focused on providing patients with the necessary knowledge and medicine. The emphasis on ease of access through an online menu and ordering system suggests a commitment to customer experience, though it lacks strong cues of sustainability or premium positioning."
Bloom MT - Lewistown,MED & REC,https://www.leafly.com/dispensary-info/bloom---lewistown,"We are committed to being the most trusted, Cannabis provider in Montana. We’re locally owned, grown, and tested.",2018,"45 US Hwy 191, MT",Lewistown,Montana,+1-406-535-7843,,,12,"Storefront, ADA accessible, Veteran discount, Medical, Recreational","Mon–Fri 10am–8pm, Sat–Sun 10am–4pm",,"trusted, locally owned, grown, tested, cannabis provider, culture, not commodity",4,"Bloom MT - Lewistown is a locally owned cannabis dispensary in Montana that emphasizes trust and authenticity in its offerings. The business highlights its commitment to local production and quality testing, presenting cannabis as a cultural product rather than a mere commodity. The dispensary also caters to a diverse clientele with features like ADA accessibility and veteran discounts."
Green Creek Dispensary,MED & REC,https://www.leafly.com/dispensary-info/green-creek-dispensary,,2021,"55 Gibson Flats Rd, MT",Great Falls,Montana,+1-406-750-7152,,,11,"Storefront, Medical, Recreational",Mon–Fri 10am–6pm,,"design, storytelling, brand differentiation, sustainability, authenticity, curation, customer experience, premium positioning, culture, not commodity",2,"Green Creek Dispensary operates as a storefront offering both medical and recreational cannabis. While the listing lacks detailed information about its design or brand philosophy, it suggests a focus on customer experience. The absence of specific cues related to sustainability or local production limits its alignment with brands that prioritize eco-consciousness and premium positioning."
Rocky Mountain Remedies - Great Falls,MED & REC,https://www.leafly.com/dispensary-info/rocky-mountain-remedies-great-falls,,2021,"921 15th St N, MT",Great Falls,Montana,+1-406-402-7171,http://www.rmr-mt-420.com,rockymountainremedies@outlook.com,21,"Storefront, Medical, Recreational","Mon–Fri 10am–7pm, Sat 11am–6pm, Sun 11am–4pm",,"medical, recreational, storefront",2,"Rocky Mountain Remedies - Great Falls is a cannabis dispensary that offers both medical and recreational products. The listing indicates a storefront presence, but lacks specific details about design, storytelling, or brand differentiation. There is no mention of sustainability, local production, or a unique customer experience, which limits its alignment with a premium, eco-conscious brand."
Holistic Releaf By Design -  Great Falls 10th Ave N,MED & REC,https://www.leafly.com/dispensary-info/holistic-relief-by-design-10th-ave,"Founded in 2008, 4th generation family owned and operated Holistic Releaf By Design was formed by a mother and son who became passionate about natural, alternative healing and healthcare. It wasn’t long before they saw a serious need for ethical, professional and compassionate cannabis products and services. Always ambassadors for ending cannabis prohibition, we salute everyone who got involved and helped pay and pave the way for the legalization movement. HRBD proudly and selflessly joined forces with other like-minded cannabis supporters, working together over the years to lobby the state on behalf of fair laws and access to legal cannabis. What you put into your body matters and how we treat the earth does too, we knew we had to be dedicated to higher quality cannabis and safer growing practices. A leader in sustainable and regenerative growing practices, we are willing to invest in holistic practices from the plants to the products. Chemicals are never sprayed or fed to our plants and organic ingredients used whenever possible. Organic ingredients are used whenever possible in our edibles. Award winning craft cannabis paired with excellent employees is how we are one of the best dispensaries to not only shop but work for. Everyone thrives in a positive, healthy environment and we love investing in our staff so they can be their best!",2023,"1301 10th Ave N, MT",Great Falls,Montana,+1-406-315-2444,https://holisticreliefbydesign.com,holisticreleaftenth@gmail.com,25,"Storefront, Veteran discount, Woman owned","Mon–Sat 9am–7:45pm, Sun 10am–5pm",,"natural, alternative healing, ethical, professional, compassionate, cannabis products, sustainable, regenerative growing practices, organic ingredients, award winning craft cannabis, positive, healthy environment, investing in staff, community support, legalization movement",5,"Holistic Releaf By Design is a family-owned cannabis dispensary that emphasizes sustainable and organic practices in its product offerings. Founded on principles of ethical healthcare and community support, the dispensary focuses on high-quality, craft cannabis while fostering a positive work environment for its employees. Their commitment to alternative healing and responsible cultivation reflects a deep respect for both the earth and the culture surrounding cannabis."
FROSTEEZ - Great Falls,MED & REC,https://www.leafly.com/dispensary-info/frosteez-great-falls,,2024,"183 Black Eagle Road, MT",Great Falls,Montana,+1-406-315-5960,http://www.frosteez.com,info@frosteez.com,10,"Storefront, Veteran discount, Medical, Recreational",Daily 9am–7:55pm,,"Veteran discount, Medical, Recreational, Storefront",2,"FROSTEEZ - Great Falls is a cannabis dispensary that offers both medical and recreational products, with a focus on providing a veteran discount. The listing indicates a storefront setup, suggesting a physical presence but lacks specific details on design, storytelling, or brand differentiation. The absence of information on sustainability or curation limits the perception of cannabis as a cultural product."
Elevated - Great Falls,MED & REC,https://www.leafly.com/dispensary-info/elevated---great-falls,"Welcome to Elevated, Montana’s premier medical and recreational marijuana provider with 10 dispensary locations across the state of Montana. We are proud to provide patients and customers with over 60 strains of top-shelf flower on rotation, the highest quality lab products and concentrates, and the largest selection of edibles and baked goods in the state. We believe in providing only the finest medicine in Montana and strive for the best overall patient experience at our clean, well-lit dispensary locations.",2019,"3313 15th Street Northeast, MT",Black Eagle,Montana,+1-406-799-9989,http://elevatedmt.com,elevated.406@gmail.com,108,"Storefront, Veteran discount, Medical, Recreational",Daily 9am–8pm,,"premier, top-shelf flower, highest quality, largest selection, finest medicine, best overall patient experience, clean, well-lit, authenticity, curation, customer experience",3,"Elevated is a cannabis dispensary in Montana that offers a wide range of medical and recreational products, featuring over 60 strains of high-quality flower and a diverse selection of edibles. The dispensary emphasizes a premium customer experience in a clean and well-lit environment, positioning itself as a leading provider in the state."
Seed of Life Labs - Great Falls,MED & REC,https://www.leafly.com/dispensary-info/seed-of-life-labs-great-falls,"Seed of Life is an all-in-one cannabis company from manufacturing, cultivation, distribution, transportation, and retail. Established in 2017, we prioritize clean, pure, non-toxic compounds in our growing process and cultivation. You can experience our premium products at our dispensaries in Billings x2, Fairview, Miles City, Glendive, Havre and Great Falls. Finally, a high-end high.",2024,"505 5th Street SW, MT",Great Falls,Montana,+1-406-315-1641,https://seedoflifelabs.com,mtucker@seedoflifelabs.com,38,"Storefront, ADA accessible, Veteran discount, Medical, Recreational",Daily 9am–7:50pm,,"clean, pure, non-toxic compounds, premium products, high-end high, all-in-one cannabis company, cultivation, distribution, retail",3,"Seed of Life Labs in Great Falls is a comprehensive cannabis company that emphasizes clean and pure cultivation practices. Established in 2017, it offers a range of premium cannabis products across multiple locations, focusing on both medical and recreational markets. The dispensary is ADA accessible and provides a veteran discount, highlighting its commitment to inclusivity and community."
Lionheart Cannabis - Great Falls,MED & REC,https://www.leafly.com/dispensary-info/lionheart-cargiving---great-falls,"Lionheart Cannabis is Montana’s premier cannabis dispensary, proudly serving both medical and recreational customers with top-tier flower, concentrates, edibles, and more. With locations across the state—including Missoula, Billings, Bozeman, Helena, Great Falls, Butte, Kalispell, Paradise Valley (Emigrant), and Four Corners—Lionheart offers unmatched selection and service. Join our rewards program and earn points that spend like cash in-store. New customers get 20% off when they sign up! Enjoy rotating sales and daily deals, making every visit an opportunity to save on the products you love.",2020,"10 Black Eagle Rd, MT",Great Falls,Montana,+1-406-551-9707,https://lionheartcannabis.com,info@lionheartcannabis.com,73,"Storefront, Veteran discount, Medical, Recreational",Daily 9am–7:45pm,,"premier cannabis dispensary, top-tier flower, unmatched selection and service, rewards program, rotating sales, daily deals, products you love, cannabis as culture",3,"Lionheart Cannabis is a well-established dispensary in Montana, catering to both medical and recreational customers with a diverse range of cannabis products including flower, concentrates, and edibles. The dispensary emphasizes customer experience through a rewards program and offers regular promotions, positioning itself as a community-focused brand that values quality and service."
Holistic Releaf By Design - Great Falls Black Eagle,MED & REC,https://www.leafly.com/dispensary-info/holistic-relief-by-design---great-falls,"Founded in 2008, 4th generation family owned and operated Holistic Releaf By Design was formed by a mother and son who became passionate about natural, alternative healing and healthcare. It wasn’t long before they saw a serious need for ethical, professional and compassionate cannabis products and services. Always ambassadors for ending cannabis prohibition, we salute everyone who got involved and helped pay and pave the way for the legalization movement. HRBD proudly and selflessly joined forces with other like-minded cannabis supporters, working together over the years to lobby the state on behalf of fair laws and access to legal cannabis. What you put into your body matters and how we treat the earth does too, we knew we had to be dedicated to higher quality cannabis and safer growing practices. A leader in sustainable and regenerative growing practices, we are willing to invest in holistic practices from the plants to the products. Chemicals are never sprayed or fed to our plants and organic ingredients used whenever possible. Organic ingredients are used whenever possible in our edibles. Award winning craft cannabis paired with excellent employees is how we are one of the best dispensaries to not only shop but work for. Everyone thrives in a positive, healthy environment and we love investing in our staff so they can be their best!",2020,"6 Black Eagle Rd, MT",Great Falls,Montana,+1-406-591-0660,https://www.holisticreliefbydesign.com,holisticreliefgreatfalls@gmail.com,52,"Storefront, ADA accessible, Veteran discount, Medical, Recreational, Woman owned","Mon–Sat 10am–7pm, Sun 10am–5pm",,"natural, alternative healing, ethical, professional, compassionate, cannabis products, sustainable, regenerative growing practices, organic ingredients, award winning craft cannabis, positive, healthy environment, investing in staff, higher quality cannabis",5,"Holistic Releaf By Design is a family-owned cannabis dispensary that emphasizes ethical, sustainable practices and high-quality products. Founded in 2008, the dispensary focuses on natural healing and offers a compassionate customer experience, all while advocating for cannabis legalization. Their commitment to organic ingredients and a positive workplace culture highlights their dedication to treating cannabis as a culture rather than a commodity."
